CustomerID,Lookalike1,Lookalike2,Lookalike3
C0001,C0190 (0.97),C0048 (0.94),C0181 (0.91)
C0002,C0088 (0.97),C0134 (0.94),C0106 (0.9)
C0003,C0052 (0.98),C0152 (0.93),C0031 (0.89)
C0004,C0165 (0.97),C0155 (0.96),C0169 (0.89)
C0005,C0186 (0.98),C0146 (0.96),C0007 (0.9)
C0006,C0168 (0.97),C0171 (0.95),C0187 (0.94)
C0007,C0140 (0.98),C0115 (0.93),C0005 (0.9)
C0008,C0109 (0.87),C0139 (0.81),C0098 (0.79)
C0009,C0010 (0.98),C0198 (0.95),C0062 (0.93)
C0010,C0009 (0.98),C0111 (0.97),C0103 (0.96)
C0011,C0137 (0.96),C0169 (0.92),C0126 (0.92)
C0012,C0104 (0.97),C0113 (0.93),C0195 (0.91)
C0013,C0099 (0.99),C0108 (0.92),C0141 (0.84)
C0014,C0060 (0.98),C0151 (0.91),C0097 (0.9)
C0015,C0036 (0.98),C0131 (0.97),C0058 (0.84)
C0016,C0183 (1.0),C0067 (0.92),C0042 (0.75)
C0017,C0075 (0.97),C0081 (0.86),C0057 (0.85)
C0018,C0117 (0.95),C0185 (0.84),C0046 (0.83)
C0019,C0121 (0.9),C0081 (0.83),C0119 (0.78)
C0020,C0050 (0.85),C0140 (0.84),C0130 (0.76)
